Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
2.021E+11;7;21;-1;N/A;2;2;0;1;0;0;1;;-1;1;5;1;80
2.021E+11;4;BERTHO ( RUE HENRI );0;N/A;2;2;0;1;-1;-1;1;;-1;1;5;1;70
2.021E+11;4;LILAS ( AVENUE DES );0;N/A;2;1;0;1;-1;-1;1;;-1;1;0;1;30
2.021E+11;3;675;-1;N/A;2;1;0;2;74;-1;1;;-1;1;0;1;80
2.021E+11;1;N/A;-1;N/A;2;-1;-1;1;92;600;1;;-1;1;0;1;-1
2.021E+11;9;LILATTES;0;N/A;-1;1;3;1;0;0;1;;-1;1;6;6;5
2.021E+11;4;DIEDERICHS;0;N/A;2;2;0;1;-1;-1;1;;-1;2;9;1;50
2.021E+11;3;ALBERT THOMAS(RUE);0;N/A;2;2;0;1;1;750;1;;-1;1;0;1;50
2.021E+11;3;14;0;A;2;2;0;2;1;870;3;;-1;2;0;3;80
2.021E+11;4;N/A;0;N/A;2;2;1;1;-1;-1;1;;-1;2;0;1;50
2.021E+11;4;N/A;-1;N/A;2;2;-1;1;-1;-1;1;;5,5;1;0;1;-1
2.021E+11;4;DUPONT ALPHONSE (RUE);0;N/A;1;0;0;1;-1;-1;1;;-1;1;0;1;30
2.021E+11;1;N/A;-1;N/A;1;3;-1;1;1;600;1;;-1;1;0;1;70
2.021E+11;3;LIBERATION (AV. DE LA);0;N/A;2;2;0;1;14;780;1;;-1;1;0;4;50
2.021E+11;4;ONZE NOVEMBRE 1918 (RD PT DU);0;N/A;1;2;0;2;-1;-1;3;;-1;1;2;1;50
2.021E+11;1;13;0;A;3;3;0;1;74;0;1;;-1;1;0;1;130
2.021E+11;4;GAVOT (AVENUE DE)  CD11;0;N/A;2;2;0;2;1;0;1;;-1;1;0;1;50
2.021E+11;6;MITTERAND ( ESPLANADE FRANCOIS );0;N/A;-1;-1;0;1;-1;-1;1;;-1;2;0;1;50
2.021E+11;4;PICARDIE (AVENUE DE);0;N/A;2;2;0;1;1;-1;1;;-1;1;0;1;50
2.021E+11;3;ROCADE (RUE DE LA ........);-1;N/A;2;2;-1;1;65;0;1;;-1;1;0;1;50
2.021E+11;3;BONDUELLE (RUE DU DOCTEUR);0;N/A;2;2;0;2;19;825;3;;-1;2;3;8;50
2.021E+11;4;DUMONT D'URVILLE. BOULEVARD;0;N/A;2;2;0;1;0;0;3;;-1;1;0;1;50
2.021E+11;4;CARNOT (AVENUE);0;N/A;-1;3;0;2;-1;-1;1;;-1;1;0;1;50
2.021E+11;4;N/A;-1;N/A;2;3;2;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;3;VICTOR GUICHARD (RUE);0;N/A;2;2;0;1;0;600;1;;-1;1;5;1;50
2.021E+11;2;RN7 ;0;N/A;1;1;0;1;45;575;1;;-1;1;3;1;90
2.021E+11;9;COUVENT CHEMIN DE;0;N/A;-1;0;0;1;1;0;2;;-1;1;0;1;50
2.021E+11;4;RADOLFZELL AVENUE DE;0;N/A;2;2;0;1;0;0;1;;-1;1;0;1;50
2.021E+11;3;CD 41;0;N/A;2;2;0;2;1;0;2;;-1;2;9;1;70
2.021E+11;7;AVENUE JULES VALLÃˆS;-1;N/A;2;2;-1;1;-1;-1;1;;-1;1;-1;1;50
2.021E+11;3;ST LOUIS(PLACE);0;N/A;1;2;0;1;0;0;1;;-1;1;5;1;50
2.021E+11;3;GERE(RUE DE);0;N/A;2;2;0;1;0;0;2;;-1;1;0;1;50
2.021E+11;3;19;-1;N/A;-1;-1;-1;1;14;300;1;;-1;1;5;1;-1
2.021E+11;3;MENDIG (Rue);0;N/A;2;1;0;1;0;0;1;;-1;1;6;1;50
2.021E+11;2;N RN5;0;N/A;3;2;0;1;10;0;1;;-1;1;9;1;90
2.021E+11;4;RUE ROGER SALENGRO;0;N/A;1;2;0;1;0;0;1;;-1;2;9;8;50
2.021E+11;3;MARECHAL JUINI(RUE);0;N/A;1;1;1;1;0;0;2;;-1;2;9;5;50
2.021E+11;4;PASCAL;0;N/A;2;1;0;1;-1;-1;1;;-1;2;5;1;50
2.021E+11;3;9;-1;N/A;2;2;0;1;8;100;1;;-1;1;0;1;70
2.021E+11;2;RD 925;0;N/A;3;2;0;1;30;223;1;;-1;2;0;1;80
2.021E+11;3;SAINT DENIS (RUE DE);0;N/A;2;2;0;1;0;1;1;;-1;1;0;4;50
2.021E+11;4;N/A;-1;N/A;-1;1;1;1;-1;-1;1;;-1;9;6;5;-1
2.021E+11;2;311;-1;N/A;2;2;0;2;-1;-1;3;;-1;1;0;3;60
2.021E+11;4;N/A;-1;N/A;2;2;0;1;-1;-1;1;;-1;1;0;1;50
2.021E+11;3;1205;-1;N/A;2;2;0;1;41;400;1;;-1;2;0;1;80
2.021E+11;3;16;0;D;2;2;0;2;24;130;2;;-1;2;0;1;70
2.021E+11;4;DEPORTES (ROUTE DES );0;N/A;2;2;0;1;0;1;1;;-1;7;0;1;50
2.021E+11;4;N/A;-1;N/A;2;-1;0;1;-1;-1;2;;-1;1;0;1;-1
2.021E+11;4;ANTHONY BAMBRIDGE (RUE);0;N/A;2;2;0;2;0;0;2;;-1;1;2;1;30
2.021E+11;3;977;-1;N/A;2;2;0;1;14;300;1;;-1;1;0;8;80
2.021E+11;4;REPUBLIQUE (AVENUE DE LA);0;N/A;3;4;0;2;0;0;1;;-1;1;0;1;50
2.021E+11;4;VAURANNE BOULEVARD DE;0;N/A;2;4;0;1;0;0;1;;-1;1;5;1;50
2.021E+11;9;N/A;-1;N/A;2;1;-1;2;-1;-1;1;;-1;6;8;8;-1
